sync_id;product;price;product_date;store;store_type;code1;libellé_COICOP1
2142;0;0;45441;Eco Market;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
237;3;3;45428;Fromager;Commerce de détail alimentaire;01.1.4.5.0;Fromage
5731;20;20;45456;Coiffeur;Services de loisirs, soins, animaux;13.1.3.1;Coiffure
4291;70;70;45450;Mécanicien;Services pour l’automobile et motocycles;07.2.3.0;Entretien et réparation de matériel de transport personnel
4293;6990;69.9;45450;Feu Vert;Services pour l’automobile et motocycles;98.1.3;Courses non alimentaires
1428;10 poules ;30;45437;Ferme;Marché, vente à domicile, automate;01.1.2.1.4;Volaille, vivante
2400;2 menus;44;45443;Restaurant lisole;Ajout utilisateur;11.1.1.1;Restaurants, cafés et autres – avec service complet 
5800;20 euros ;20;45454;Retrait banque ;Ajout utilisateur;99.2;Opération bancaire (retrait, virement, prélèvement)
5801;40 euros ;40;45455;Retrait banque ;Ajout utilisateur;99.2;Opération bancaire (retrait, virement, prélèvement)
8740;Abonnement musique ;17.99;45468;Spotify ;Ajout utilisateur;08.3.9.2;Abonnement à des contenus audiovisuels, services de streaming et location de contenus audiovisuels
1176;Accessoire bureau;22;45436;Action;Grand magasin, bazar;09.7.4.0;Papeterie et matériel de dessin (ND)
7480;Accessoire mobile;22.99;45464;Amazon;Achat par internet, téléphone, correspondance;08.1.9.2;Autres accessoires d'information et de communication 
8557;Accessoires fete anniversaire;24.26;45468;Zôdio;Aménagement de l’habitat;09.2.1;Jeux, jouets et loisirs
456;Actron;34;45430;Pharmacie;Biens et produits personnels, puériculture;06.1.1.1;Médicaments, vaccins et autres préparations pharmaceutiques
3185;Affranchissement courrier;6.71;45446;La Poste;Services publics, services autoroutes, transport, télécommunication;07.4.1.1;Services de traitement du courrier
4463;Aimant rond cadeau maîtresse;16.5;45450;Mannaé;Ajout utilisateur;99.1;Cadeaux
2672;Alimentaire;252;45444;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
3935;Alimentaire;21;45448;Carrefour;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
3618;Alimentaire;7.68;45448;Carrefour;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
4253;Alimentaire;51.82;2024-06-06;Match;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
3625;Alimentaire ;272;45447;Intermarché;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
5616;Alimentaire ;57.75;45455;Leclerc Drive;Achat par internet, téléphone, correspondance;98.1.1;Courses alimentaires
522;Alimentation;100;45430;Auchan;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1471;Alimentation;11.08;45429;Monop;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1501;Alimentation;11.08;45429;Monop;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1543;Alimentation;11.08;45429;Monop;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1552;Alimentation;3.4;45427;Intermarché;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1758;Alimentation;21.66;45429;Casino;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1843;Alimentation;48.68;45440;Hypermarché;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
2246;Alimentation;19.28;45442;Lidl;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
2760;Alimentation;140.84;45443;Auchan Drive;Achat par internet, téléphone, correspondance;98.1.1;Courses alimentaires
4296;Alimentation;47.63;45449;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
5545;Alimentation;89.24;45455;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6449;Alimentation;43.22;45451;Delhaize;Ajout utilisateur;98.1.1;Courses alimentaires
6433;Alimentation;50.85;45450;Super U;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
7210;Alimentation;179.38;45449;Chronodrive;Achat par internet, téléphone, correspondance;98.1.1;Courses alimentaires
7602;Alimentation;30.83;45459;Carrefour;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
7614;Alimentation;167.29;45463;Lidl;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
8010;Alimentation;124.03;45458;Lidl;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
8012;Alimentation;38.69;45458;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
8215;Alimentation;87.25;45467;Chronodrive;Achat par internet, téléphone, correspondance;98.1.1;Courses alimentaires
8442;Alimentation;45.86;45467;Vrac;Ajout utilisateur;98.1.1;Courses alimentaires
8616;Alimentation;12;45469;Match;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
8650;Alimentation;71.72;45465;Franprix;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1624;Alimentation;30.88;2024-05-20;Intermarché;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
8985;Alimentation;54.05;2024-06-27;Chronodrive;Achat par internet, téléphone, correspondance;98.1.1;Courses alimentaires
9068;Alimentation;95;2024-06-28;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
9340;Alimentation;7;2024-06-27;Match;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
2569;Alimentation ;193;45441;Intermarché;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
4429;Alimentation ;37.5;45450;Auchan;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
5684;Alimentation ;188;45456;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6454;Alimentation ;131.57;45454;Super U;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6697;Alimentation ;11.97;45459;Netto;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6766;Alimentation ;12.44;45454;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
3309;Alimentation ;27.34;2024-06-03;Lidl;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
1943;Alimentation et entretien maison;178.23;45441;Carrefour Drive;Achat par internet, téléphone, correspondance;98.1.2;Courses en supermarché
2990;Alimentation et hygiène ;256.05;45444;Leclerc;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
9591;Aliments;28;2024-06-21;Quick;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et établissements similaires — service limité (S)
5836;Anniversaire thibaut ;92;45455;Cinéma;Services de loisirs, soins, animaux;09.6.1.0;Services fournis par les cinémas, théâtres et salles de concert
3643;Appareil dentaire suivi;384.9;45447;Orthodontiste;Services de santé;06.2.2.9;Autres services dentaires ambulatoires 
4139;Arrêt de travail ;30;45449;Médecin;Services de santé;06.2.3;Autres services de soins ambulatoires
3855;Asperges ;5;45447;Monop;Grande et petite surface alimentaire;01.1.7.1.1;Asperges, fraîches ou réfrigérées
6742;Assiette mixte kebab;17;45461;Kebab;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité 
3811;Assurance habitation;38;45448;Banque;Organismes financiers;12.1.3.0;Assurance lié au logement
9705;Assurance habitation ;48,1599998474121;2024-07-03;Banque;Organismes financiers;12.1.3.0;Assurance liée aux logements (S)
3634;Assurance maison;64;45447;Assurance pret;Ajout utilisateur;12.1.3.0;Assurance liée au logement
4949;Assurance multimedia;47.88;45453;Fnac;Sports et loisirs;12.1.9.0;Autre assurance
3811;Assurance prêt immobilier ;28;45448;Banque;Organismes financiers;12.1.9.0;Autre assurance
4104;Assurance pret maison;58.84;45447;Assurance;Organismes financiers;12.1.9.0;Autre assurance
5566;Assurance scolaire;57;45453;Mae;Ajout utilisateur;12.1.9.0;Autre assurance
8911;Assurance vie;20;45470;Assurance;Organismes financiers;12.1.1.0;Assurance vie et accidents (S)
