"Libelle";"Code"
"Produits alimentaires et boissons non alcoolisées";"01"
"Produits alimentaires";"01.1"
"Céréales et produits à base de céréales (ND)";"01.1.1"
"Céréales (ND)";"01.1.1.1"
"Riz";"01.1.1.1.1"
"Céréales autre que le riz";"01.1.1.1.2"
"Farine de céréales (ND)";"01.1.1.2"
"Farine de céréales";"01.1.1.2.1"
"Pain et produits de boulangerie (ND)";"01.1.1.3"
"Pain";"01.1.1.3.1"
"Pâtisseries";"01.1.1.3.2"
"Viennoiseries";"01.1.1.3.3"
"Biscuits et gâteaux";"01.1.1.3.4"
"Autres produits de boulangerie";"01.1.1.3.9"
"Céréales pour petit-déjeuner (ND)";"01.1.1.4"
"Céréales pour petit déjeuner";"01.1.1.4.1"
"Macaronis, nouilles, couscous et pâtes alimentaires similaires (ND)";"01.1.1.5"
"Macaroni, nouilles, couscous et pâtes alimentaires similaires";"01.1.1.5.1"
"Autres produits à base de céréales et de minoterie (ND)";"01.1.1.9"
"Autres produits céréaliers et de minoterie";"01.1.1.9.1"
"Animaux vivants, viandes et autres parties d’animaux terrestres abattus (ND)";"01.1.2"
"Animaux terrestres vivants (ND)";"01.1.2.1"
"Animal bovin, vivant";"01.1.2.1.1"
"Porcs, vivants";"01.1.2.1.2"
"Chèvres, agneaux et moutons,vivants";"01.1.2.1.3"
"Volailles, vivantes";"01.1.2.1.4"
"Lièvres et lapins, vivants";"01.1.2.1.5"
"Autres animaux vivants";"01.1.2.1.9"
"Viande, fraîche, réfrigérée ou surgelée (ND)";"01.1.2.2"
"Viande d’animaux bovins, fraîche, réfrigérée ou congelée";"01.1.2.2.1"
"Viande de porcs, fraîche, réfrigérée ou congelée";"01.1.2.2.2"
"Viande de chèvres, fraîche, réfrigérée ou congelée";"01.1.2.2.3"
"Viande de volaille, fraîche, réfrigérée ou congelée";"01.1.2.2.4"
"Viande de lièvres et de lapins, fraîche, réfrigérée ou congelée";"01.1.2.2.5"
"Viande de chevaux et d’autres équidés, fraîche, réfrigérée ou congelée";"01.1.2.2.6"
"Viande de chameaux et de camélidés, fraîche, réfrigérée ou congelée";"01.1.2.2.7"
"Autres viandes, fraîche, réfrigérée ou congelée";"01.1.2.2.9"
"Viande, séchée, salée, en saumure ou fumée (ND)";"01.1.2.3"
"Viande bovine salée, séchée ou fumée";"01.1.2.3.1"
"Viande de porcs, coupes, salées, séchées ou fumées (jambon ou bacon)";"01.1.2.3.2"
"Autres viandes séchées ou fumée";"01.1.2.3.9"
"Abats, sang et autres parties d’animaux abattus, frais, réfrigérés ou surgelés, séchés, salés, en saumure ou fumés (ND)";"01.1.2.4"
"Abats, sang et autres parties d’animaux abattus frais, réfrigérés ou congelés , séchés, salés, en saumure ou fumés";"01.1.2.4.0"
"Préparations à base de viande, d’abats, de sang ou d’autres parties d’animaux abattus (ND)";"01.1.2.5"
"Saucisses et produits similaires à base de viande, abats ou sang";"01.1.2.5.1"
"Viande en conserve";"01.1.2.5.2"
"Pâté y compris le foie gras";"01.1.2.5.3"
"Autres préparations à base de viande, abats ou sang non classés ailleurs";"01.1.2.5.9"
"Poisson et autres fruits de mer (ND)";"01.1.3"
"Poisson, vivant, frais, réfrigéré ou surgelé (ND)";"01.1.3.1"
"Poisson vivant ou frais";"01.1.3.1.1"
"Poisson congelé ou surgelé";"01.1.3.1.2"
"Poisson, séché, salé, en saumure ou fumé (ND)";"01.1.3.2"
"Poisson séché, salé, en saumure ou fumé";"01.1.3.2.1"
"Préparations à base de poisson (ND)";"01.1.3.3"
"Préparations à base de poisson";"01.1.3.3.1"
"Autres fruits de mer, vivants, frais, réfrigérés ou surgelés (ND)";"01.1.3.4"
"Fruits de mer vivants ou frais";"01.1.3.4.1"
"Fruits de mer congelés ou surgelés";"01.1.3.4.2"
"Autres fruits de mer, séchés, salés, en saumure ou fumés (ND)";"01.1.3.5"
"Autres fruits de mer séchés, salés, en saumure ou fumés";"01.1.3.5.1"
"Autres préparations à base de fruits de mer (ND)";"01.1.3.6"
"Autres préparations à base de fruits de mer";"01.1.3.6.1"
"Foies, œufs et laitances, et autres abats de poissons et d’autres fruits de mer sous toutes leurs formes (ND)";"01.1.3.7"
"Foies, œufs et laitances, et autres abats de poissons et d’autres fruits de mer sous toutes leurs formes";"01.1.3.7.1"
"Lait, autres produits laitiers et œufs (ND)";"01.1.4"
"Lait cru et entier (ND)";"01.1.4.1"
"Lait cru et entier";"01.1.4.1.1"
"Lait écrémé (ND)";"01.1.4.2"
"Lait écrémé";"01.1.4.2.1"
"Autres laits et crèmes (ND)";"01.1.4.3"
"Lait longue conservation, en poudre ou concentré";"01.1.4.3.1"
"Crème fraîche et autres crèmes";"01.1.4.3.2"
"Lait d’origine non animale (ND)";"01.1.4.4"
"Lait d’origine non animale";"01.1.4.4.1"
"Fromage (ND)";"01.1.4.5"
"Fromage frais";"01.1.4.5.1"
"Fromage à pâte molle et à pâte persillée";"01.1.4.5.2"
"Fromage à pâte pressée";"01.1.4.5.3"
"Fromage de chèvre";"01.1.4.5.4"
"Fromage fondu";"01.1.4.5.5"
"Yaourt et produits similaires (ND)";"01.1.4.6"
"Yaourt et produits similaires";"01.1.4.6.1"
"Desserts et boissons à base de lait (ND)";"01.1.4.7"
"Desserts et boissons à base de lait";"01.1.4.7.1"
"Œufs (ND)";"01.1.4.8"
"Œufs";"01.1.4.8.1"
"Autres produits laitiers (ND)";"01.1.4.9"
"Autres produits laitiers";"01.1.4.9.1"
"Huiles et graisses (ND)";"01.1.5"
"Huiles végétales (ND)";"01.1.5.1"
"Huile d’olive";"01.1.5.1.1"
"Autres huiles végétales";"01.1.5.1.9"
"Beurre et autres huiles et matières grasses provenant du lait (ND)";"01.1.5.2"
"Beurre et autres huiles et matières grasses provenant du lait";"01.1.5.2.1"
"Margarine et préparations similaires (ND)";"01.1.5.3"
"Margarine et préparations similaires";"01.1.5.3.1"
"Autres huiles et graisses animales (ND)";"01.1.5.9"
"Autres huiles et graisses animales";"01.1.5.9.1"
"Fruits et fruits à coque (ND)";"01.1.6"
"Dattes, figues et fruits tropicaux, frais (ND)";"01.1.6.1"
"Dattes, figues et fruits tropicaux, frais";"01.1.6.1.1"
"Agrumes frais (ND)";"01.1.6.2"
"Agrumes frais";"01.1.6.2.1"
"Fruits à noyau et fruits à pépins, frais (ND)";"01.1.6.3"
"Fruits à noyau et fruits à pépins, frais";"01.1.6.3.1"
"Baies fraîches (ND)";"01.1.6.4"
"Baies fraîches";"01.1.6.4.1"
"Autres fruits, frais (ND)";"01.1.6.5"
"Autres fruits, frais";"01.1.6.5.1"
"Fruits surgelés (ND)";"01.1.6.6"
"Fruits surgelés";"01.1.6.6.1"
"Fruits séchés et déshydratés (ND)";"01.1.6.7"
"Fruits séchés et déshydratés";"01.1.6.7.1"
"Fruits à coque, non décortiqués ou décortiqués (ND)";"01.1.6.8"
"Fruits à coque, non décortiqués ou décortiqués";"01.1.6.8.1"
"Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)";"01.1.6.9"
"Fruits et fruits à coque, moulus ou dans d’autres préparations";"01.1.6.9.1"
"Légumes, tubercules, bananes plantains, bananes à cuire et légumineuses (ND)";"01.1.7"
"Légumes à feuilles ou à tiges, frais ou réfrigérés (ND)";"01.1.7.1"
"Légumes à feuilles ou à tiges, frais ou réfrigérés";"01.1.7.1.1"
"Légumes à fruits, frais ou réfrigérés (ND)";"01.1.7.2"
"Légumes à fruits, frais ou réfrigérés";"01.1.7.2.1"
"Légumes à cosse verts, frais ou réfrigérés (ND)";"01.1.7.3"
"Légumes à cosse verts, frais ou réfrigérés";"01.1.7.3.1"
"Autres légumes, frais ou réfrigérés (ND)";"01.1.7.4"
"Autres légumes, frais ou réfrigérés";"01.1.7.4.1"
"Tubercules, bananes plantains et bananes à cuire (ND)";"01.1.7.5"
"Bananes plantains et bananes à cuire";"01.1.7.5.1"
"Pommes de terre fraîches ou de conservation";"01.1.7.5.2"
"Autres tubercules";"01.1.7.5.9"
"Légumineuses (ND)";"01.1.7.6"
"Légumineuses";"01.1.7.6.1"
