code;frequency;product;coicop
01.1.1.1.2;45;Blé;Céréales autre que le riz
01.1.1.1.2;3;Blé complet;Céréales autre que le riz
01.1.1.1.2;1;Blé grain;Céréales autre que le riz
01.1.1.1.2;1;Cœur de blé;Céréales autre que le riz
01.1.1.1.2;15;Ebly;Céréales autre que le riz
01.1.1.1.1;3;Brisure de riz;Riz
01.1.1.1.1;1;Riz aromatisé;Riz
01.1.1.1.1;329;Riz basmati;Riz
01.1.1.1.1;5;Riz bio;Riz
01.1.1.1.1;27;Riz complet;Riz
01.1.1.1.1;3;Riz composé;Riz
01.1.1.1.1;1;Riz cuisson rapide;Riz
01.1.1.1.1;134;Riz long;Riz
01.1.1.1.1;2;Riz vrac;Riz
01.1.1.1.2;11;Millet;Céréales autre que le riz
01.1.1.1.2;138;Maïs;Céréales autre que le riz
01.1.1.1.2;108;Quinoa;Céréales autre que le riz
01.1.1.1.2;4;Avoine;Céréales autre que le riz
01.1.1.1.2;36;Boulgour;Céréales autre que le riz
01.1.1.1.2;8;Son d’avoine;Céréales autre que le riz
01.1.1.2.1;1166;Farine;Farine de céréales
01.1.1.2.1;2;Farine à pain;Farine de céréales
01.1.1.2.1;24;Farine bio;Farine de céréales
01.1.1.2.1;7;Fécule;Farine de céréales
01.1.1.2.1;162;Farine de blé;Farine de céréales
01.1.1.2.1;6;Farine de riz;Farine de céréales
01.1.1.2.1;1;Fécule de riz;Farine de céréales
01.1.1.2.1;4;Farine de maïs;Farine de céréales
01.1.1.2.1;7;Fécule de maïs;Farine de céréales
01.1.1.2.1;78;Maïzena;Farine de céréales
01.1.1.2.1;11;Farine de manioc;Farine de céréales
01.1.1.2.1;1;Farine de sarrasin;Farine de céréales
01.1.1.2.1;2;Farine de seigle;Farine de céréales
01.1.1.2.1;2;Semoule de manioc;Farine de céréales
01.1.1.2.1;17;Tapioca;Farine de céréales
01.1.1.3.1;1;Apéritif salé;Pain
01.1.1.3.1;5;Bagel;Pain
01.1.1.3.1;16645;Baguette;Pain
01.1.1.3.1;10;Baguette bio;Pain
01.1.1.3.1;1000;Baguette céréales ;Pain
01.1.1.3.1;1;Baguette congelée;Pain
01.1.1.3.1;9000;Baguette tradition ;Pain
01.1.1.3.1;21;Baguettine;Pain
01.1.1.3.1;4;Biscuits crackers;Pain
01.1.1.3.1;129;Biscuits salés;Pain
01.1.1.3.1;4;Boulangerie;Pain
01.1.1.3.1;100;Boulangerie ;Pain
01.1.1.3.1;28;Boule de pain;Pain
01.1.1.3.1;101;Bretzel;Pain
01.1.1.3.1;68;Ciabatta;Pain
01.1.1.3.1;9;Cœur de mie;Pain
01.1.1.3.1;2;Couronne de pain;Pain
01.1.1.3.1;5;Crumpets;Pain
01.1.1.3.1;13;Faluche;Pain
01.1.1.3.1;1;Ficelle pain;Pain
01.1.1.3.1;14;Focaccia;Pain
01.1.1.3.1;1;Galette de pain;Pain
01.1.1.3.1;3;Gressin;Pain
01.1.1.3.1;17;Grilletine;Pain
01.1.1.3.1;7;Miche de pain;Pain
01.1.1.3.1;11251;Pain;Pain
01.1.1.3.1;10000;Pain;Pain
01.1.1.3.1;1;Pain à panini;Pain
01.1.1.3.1;1;Pain à sandwich;Pain
01.1.1.3.1;3;Pain ail;Pain
01.1.1.3.1;16;Pain au beurre;Pain
01.1.1.3.1;1;Pain au blé;Pain
01.1.1.3.1;11;Pain au maïs;Pain
01.1.1.3.1;2;Pain au muesli;Pain
01.1.1.3.1;8;Pain au noix;Pain
01.1.1.3.1;4;Pain au seigle;Pain
01.1.1.3.1;1;Pain au sésame;Pain
01.1.1.3.1;1;Pain aux deux lins;Pain
01.1.1.3.1;2;Pain aux figues;Pain
01.1.1.3.1;5;Pain aux olives;Pain
01.1.1.3.1;13;Pain azyme;Pain
01.1.1.3.1;1;Pain bagnat;Pain
01.1.1.3.1;16;Pain bâtard;Pain
01.1.1.3.1;39;Pain bio;Pain
01.1.1.3.1;2;Pain bio;Pain
01.1.1.3.1;31;Pain brioché;Pain
01.1.1.3.1;3;Pain bruschetta;Pain
01.1.1.3.1;1;Pain crème;Pain
01.1.1.3.1;2;Pain d’épeautre;Pain
01.1.1.3.1;137;Pain de campagne;Pain
01.1.1.3.1;1653;Pain de mie;Pain
01.1.1.3.1;29;Pain de mie complet;Pain
01.1.1.3.1;8;Pain de mie nature;Pain
01.1.1.3.1;31;Pain de seigle;Pain
01.1.1.3.1;1;Pain des femmes;Pain
01.1.1.3.1;16;Pain épeautre;Pain
01.1.1.3.1;5;Pain fantaisie;Pain
01.1.1.3.1;1;Pain fibre;Pain
01.1.1.3.1;2;Pain figue;Pain
01.1.1.3.1;1;Pain forestier;Pain
01.1.1.3.1;1;Pain fougasse;Pain
01.1.1.3.1;1;Pain froment;Pain
01.1.1.3.1;1;Pain fruits;Pain
01.1.1.3.1;2;Pain gourmand;Pain
01.1.1.3.1;12;Pain graines;Pain
