Identifiant du carnet,Date de saisie du carnet,Date de jour de collecte,Origine,Ligne n�,Nature de la dépense,Montant,Enseigne ou type de magasin,coicop,Libellé coicop
10156615_01,04/09/2024,//,TABLEAU,11,(ABONNEMENT),13.4,NETFLIX,08.3.9.2,"Abonnements à des contenus audiovisuels, services de streaming et location de contenus audiovisuels (S)"
10158122_01,27/08/2024,17/06/2024,TABLEAU,2,(BOUCHERIE) VIANDE,21.1,BOUCHERIE,01.1.2.2,"Viande, fraîche, réfrigérée ou surgelée (ND)"
10158139_01,16/08/2024,27/05/2024,TABLEAU,1,//,551.8,DENTISTE,06.2.2,Services dentaires ambulatoires (S)
10157458_01,06/09/2024,08/06/2024,TABLEAU,2,//,89.6,CARAIBE PRICE,98.1.2,Courses en supermarché
10156533_01,22/08/2024,31/05/2024,TABLEAU,1,//,83.2,LEADER PRICE,98.1.2,Courses en supermarché
10158868_01,22/08/2024,07/06/2024,TABLEAU,3,//,40,SOUK,98.1.4,Autres courses
10158746_01,08/10/2024,14/06/2024,TABLEAU,2,//,32,//,98.4,Illisible ou indéterminé
10157990_01,11/09/2024,29/06/2024,TABLEAU,2,//,30,NOZ,98.4,Illisible ou indéterminé
10158139_01,16/08/2024,25/05/2024,TABLEAU,1,//,25.4,BRICOCASH SOMAIN,04.3.1.1,Fournitures pour travaux d’entretien et de réparation des logements (ND)
10156832_01,11/09/2024,03/06/2024,TABLEAU,1,//,19.6,LIDL,98.1.2,Courses en supermarché
10157388_01,05/08/2024,17/05/2024,TABLEAU,8,//,18,U EXPRESS,98.1.2,Courses en supermarché
10156832_01,11/09/2024,03/06/2024,TABLEAU,2,//,15.1,FRESH,98.1.1,Courses alimentaires
10157388_01,05/08/2024,16/05/2024,TABLEAU,5,//,9.6,//,98.4,Illisible ou indéterminé
10156860_01,23/08/2024,18/05/2024,TABLEAU,1,//,8,BOULANGERIE,01.1.1.3,Pain et produits de boulangerie (ND)
10156832_01,11/09/2024,08/06/2024,TABLEAU,1,//,6.8,BOULANGERIE,01.1.1.3,Pain et produits de boulangerie (ND)
10156832_01,11/09/2024,05/06/2024,TABLEAU,1,//,6.2,BOULANGERIE,01.1.1.3,Pain et produits de boulangerie (ND)
10157388_01,05/08/2024,20/05/2024,TABLEAU,2,//,5.7,SARL JASAWANT,01.1.1.3,Pain et produits de boulangerie (ND)
10157079_01,05/08/2024,17/05/2024,TABLEAU,2,//,5.2,FRANPRIX,98.1.2,Courses en supermarché
10158868_01,22/08/2024,06/06/2024,TABLEAU,4,//,4.3,//,98.4,Illisible ou indéterminé
10156709_01,02/09/2024,12/06/2024,TABLEAU,1,//,2.8,//,98.4,Illisible ou indéterminé
10156709_01,02/09/2024,13/06/2024,TABLEAU,1,//,2.8,LIDL,98.1.2,Courses en supermarché
10156599_01,22/08/2024,25/05/2024,TABLEAU,1,//,1.1,BOULANGERIE,01.1.1.3,Pain et produits de boulangerie (ND)
10156599_01,22/08/2024,28/05/2024,TABLEAU,1,//,1.1,BOULANGERIE,01.1.1.3,Pain et produits de boulangerie (ND)
10156599_01,22/08/2024,30/05/2024,TABLEAU,1,//,1.1,BOULANGERIE,01.1.1.3,Pain et produits de boulangerie (ND)
10156750_01,02/08/2024,31/05/2024,TABLEAU,2,"+10�, VOISON TRAJET",1,TRANSPORT VOISIN,07.3,Services de transport de passagers
10157226_01,20/08/2024,25/05/2024,TABLEAU,1,1 BAGUETTE,1.2,BOULANGERIE,01.1.1.3.1,Pain
10157581_01,19/08/2024,04/06/2024,TABLEAU,1,1 BAGUETTE,"1.2,0",,01.1.1.3.1,Pain
10158392_01,04/09/2024,08/06/2024,TABLEAU,1,1 BAGUETTE,1.2,MATCH,01.1.1.3.1,Pain
10158392_01,04/09/2024,11/06/2024,TABLEAU,1,1 BAGUETTE,1.2,POULAILLON,01.1.1.3.1,Pain
10158392_01,04/09/2024,12/06/2024,TABLEAU,1,1 BAGUETTE,1.2,POULAILLON,01.1.1.3.1,Pain
10158714_01,10/09/2024,14/06/2024,TABLEAU,1,1 BAGUETTE,1.2,FOURGONETTE,01.1.1.3.1,Pain
10158714_01,10/09/2024,15/06/2024,TABLEAU,1,1 BAGUETTE,1.2,//,01.1.1.3.1,Pain
10158714_01,10/09/2024,16/06/2024,TABLEAU,1,1 BAGUETTE,1.2,//,01.1.1.3.1,Pain
10158714_01,10/09/2024,17/06/2024,TABLEAU,1,1 BAGUETTE,1.2,FOURGONETTE,01.1.1.3.1,Pain
10158714_01,10/09/2024,18/06/2024,TABLEAU,1,1 BAGUETTE,1.2,FOURGONETTE,01.1.1.3.1,Pain
10158714_01,10/09/2024,19/06/2024,TABLEAU,1,1 BAGUETTE,1.2,FOURGONETTE,01.1.1.3.1,Pain
10158714_01,10/09/2024,20/06/2024,TABLEAU,1,1 BAGUETTE,1.2,FOURGONETTE,01.1.1.3.1,Pain
10156602_01,24/07/2024,01/06/2024,TABLEAU,1,1 BAGUETTE,1.1,BOULANGERIE,01.1.1.3.1,Pain
10156602_01,24/07/2024,03/06/2024,TABLEAU,1,1 BAGUETTE,1.1,BOULANGERIE,01.1.1.3.1,Pain
10156602_01,24/07/2024,04/06/2024,TABLEAU,1,1 BAGUETTE,1.1,BOULANGERIE,01.1.1.3.1,Pain
10156602_01,24/07/2024,05/06/2024,TABLEAU,1,1 BAGUETTE,1.1,BOULANGERIE,01.1.1.3.1,Pain
10156602_01,24/07/2024,06/06/2024,TABLEAU,1,1 BAGUETTE,1.1,BOULANGERIE,01.1.1.3.1,Pain
10157543_01,06/09/2024,//,TABLEAU,1,1 BAGUETTE,1.1,BOULANGERIE,01.1.1.3.1,Pain
10158715_01,10/09/2024,19/06/2024,TABLEAU,1,1 BAGUETTE,1.1,VOITURE A DOMICILE,01.1.1.3.1,Pain
10158715_01,10/09/2024,20/06/2024,TABLEAU,1,1 BAGUETTE,1.1,VOITURE A DOMICILE,01.1.1.3.1,Pain
10158715_01,10/09/2024,21/06/2024,TABLEAU,1,1 BAGUETTE,1.1,VOITURE A DOMICILE,01.1.1.3.1,Pain
10158715_01,10/09/2024,22/06/2024,TABLEAU,1,1 BAGUETTE,1.1,VOITURE A DOMICILE,01.1.1.3.1,Pain
10158715_01,10/09/2024,24/06/2024,TABLEAU,1,1 BAGUETTE,1.1,VOITURE A DOMICILE,01.1.1.3.1,Pain
10158715_01,10/09/2024,25/06/2024,TABLEAU,1,1 BAGUETTE,1.1,VOITURE A DOMICILE,01.1.1.3.1,Pain
10156979_01,09/10/2024,19/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10156979_01,09/10/2024,20/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10156979_01,09/10/2024,23/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10158122_01,27/08/2024,14/06/2024,TABLEAU,1,1 BAGUETTE,1,,01.1.1.3.1,Pain
10158122_01,27/08/2024,16/06/2024,TABLEAU,2,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10158122_01,27/08/2024,18/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10158122_01,27/08/2024,19/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10158186_01,06/09/2024,25/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10158186_01,06/09/2024,27/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10158186_01,06/09/2024,29/06/2024,TABLEAU,1,1 BAGUETTE,1,BOULANGERIE,01.1.1.3.1,Pain
10157197_01,05/08/2024,29/05/2024,TABLEAU,1,1 BAGUETTE + 1 SUCETTE,1.4,BOULANGERIE,01.1.1.3.1,Pain
10158732_02,28/08/2024,//,TABLEAU,1,1 BAGUETTE + 3 PAIN CHOCO,4.3,BOULANGERIE (ESPECE),01.1.1.3,Pain et produits de boulangerie (ND)
10157122_01,25/07/2024,27/05/2024,TABLEAU,1,1 BAGUETTE + 5KG DE RIZ,10.5,CARREFOUR MARKET,98.1.1,Courses alimentaires
10157372_01,06/09/2024,08/06/2024,TABLEAU,2,1 BAGUETTE COMPLETE,1.9,BOULANGERIE,01.1.1.3.1,Pain
10157372_01,06/09/2024,11/06/2024,TABLEAU,2,1 BAGUETTE COMPLETE,1.9,BOULANGERIE,01.1.1.3.1,Pain
10156949_01,04/09/2024,//,TABLEAU,1,1 BAGUETTE DOREE,2.2,BOULANGERIE TILLE,01.1.1.3.1,Pain
10158563_01,02/08/2024,29/05/2024,TABLEAU,1,"1 BAGUETTE, 2 PAINS AU CHOCOLAT",3,BOULANGERIE,01.1.1.3,Pain et produits de boulangerie (ND)
10158122_01,27/08/2024,17/06/2024,TABLEAU,1,"1 BAGUETTE, 3 PETIT PAINS",3,BOULANGERIE,01.1.1.3.1,Pain
10157200_01,11/09/2024,10/06/2024,TABLEAU,2,1 BARQUETTE DE FRAISES 250G,4,BOULANGERIE EPI CURIEUX,01.1.6.4.5,"Fraises fraîches, fraîches"
10157866_01,21/08/2024,30/05/2024,TABLEAU,3,1 BIDON D'EAU DE JAVEL,2.4,ALDI,05.6.1.1,Produits de nettoyage et d'entretien ménager (ND)
10157702_01,06/09/2024,20/06/2024,TABLEAU,10,1 BOCAL CERISE SIROP LEGER,2.3,LIDL,01.1.6.9,Fruits et noix broyés et autres préparations (ND)
10157565_01,20/08/2024,25/05/2024,TABLEAU,5,1 BOISSON ICE TEA,2.5,SUMA MOTOBALL,01.2.3.0.3,Thé glacé
10157372_01,06/09/2024,10/06/2024,TABLEAU,2,1 BOUTEILLE D'EAU (EVIAN),7.2,LECLERC,01.2.5.0.0,Eau
10156938_01,04/09/2024,14/06/2024,TABLEAU,1,1 BOUTEILLE DE COCA,1.8,CARREFOUR,01.2.6.0.0,Boissons non alcoolisées
10158637_01,10/09/2024,//,TABLEAU,3,1 BTE DE BISCUITS CUILLERE,2.2,INTERMARCHE,01.1.1.3.9.3,Biscuits et gâteaux
10158392_01,04/09/2024,07/06/2024,TABLEAU,2,1 CAFE,1.7,POULAILLON,11.1.1.2,"Restaurants, cafés et autres – à service limité (S)"
10157110_01,10/09/2024,13/06/2024,TABLEAU,4,1 CAFE COMPTOIR,1.5,CAFE,11.1.1.1,"Restaurants, cafés et autres – avec service complet (S)"
10157200_01,11/09/2024,15/06/2024,TABLEAU,6,1 CAPELINE FAUSSE FOURRURE,49,BOUTIQUE,03.1.2,Vêtements (SD)
10157908_01,29/08/2024,10/06/2024,TABLEAU,4,1 CERF VOLANT,30,DECATHLON,09.2.2.2,Équipement pour le camping et les loisirs de plein air (SD)
10157200_01,11/09/2024,15/06/2024,TABLEAU,4,1 CHEMISE DE NUIT (FEMME),105,BOUTIQUE EN LIQUIDATION,03.1.2.2,Vêtements pour femmes ou filles (SD)
10157200_01,11/09/2024,15/06/2024,TABLEAU,5,1 CHEMISE DE PLAGE (FEMME),55,BOUTIQUE,03.1.2.2,Vêtements pour femmes ou filles (SD)
10156746_01,21/08/2024,31/05/2024,TABLEAU,1,"1 CROISSANT BEURRE, 1 PAIN AU CHOCOLAT",1,1 PETIT PAIN VIENNOIS,01.1.1.3.9.2,Viennoiserie
10158321_01,28/08/2024,14/06/2024,TABLEAU,1,1 DZ OEUFS,3.4,//,01.1.4.8.1,"Œufs de poules et autres oiseaux en coquilles, frais"
10157871_01,09/09/2024,09/06/2024,TABLEAU,2,1 FLAN,2.5,BOULANGERIE,01.1.1.3.9.1,Pâtisserie
