product;Montant de la dépense;shop_maj;Libellé coicop;Code coicop;code_mag;Nomen_mag
ST JACQUES OEUFS FRAIS X12;4.99;ECO SHOP;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
TILDA RIZ BASMATI 500GRS;4.89;ECO SHOP;Riz;01.1.1.1.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
GARDEL SUCRE 750GRS;2.09;ECO SHOP;Sucre de canne et de betterave (ND);01.1.8.1;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
BEGHIN SAY SUCRE SEMOULE 4KG;3.75;ECO SHOP;Sucre de canne et de betterave (ND);01.1.8.1;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
CABANON TOMATES DES 400GRS;2.99;ECO SHOP;Légumes en conserve;01.1.7.9.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
FANTA EXOTIQUE 33CL 6 X 0.95€/UNITE;5.7;ECO SHOP;Boissons gazeuses;01.2.6.0.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
PLANTA FIN DOUX 225GRES;2.49;ECO SHOP;Margarine et préparations similaires (ND);01.1.5.3;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
EVERYDAY ANANAS TRANCHE 567GRS;2.99;ECO SHOP;Fruits en conserve;01.1.6.9.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
EVERYDAY ANANAS TRANCHE 567GRS;2.99;ECO SHOP;Fruits en conserve;01.1.6.9.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
CITRON VERT LE KG 0.455KG X 3.69€/KG;1.68;ECO SHOP;Citrons et citrons verts, frais;01.1.6.2.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
TOMATE GRAPPE 500G 1X;4.99;CARREFOUR;Tomates, fraîches ou réfrigérées;01.1.7.2.4;111;Hypermarchés
200G MINI CHORIZO NA 3X;4.15;CARREFOUR;Saucisses et produits similaires à base de viande, d'abats ou de sang;01.1.2.5.1;111;Hypermarchés
150G DES EMMENTAL CA 2X;2.98;CARREFOUR;Fromage;01.1.4.5.0;111;Hypermarchés
CENT WAFERS LU 190G;2.95;EXPRESS MARKET;Biscuits et gâteaux;01.1.1.3.9.3;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
FIDAFRUIT MELANGE ANANAS PAPAYE 200G 1X4.60€;4.6;EXPRESS MARKET;Dattes, figues et fruits tropicaux, frais (ND);01.1.6.1;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
FINI BONBON JELLY STRAWBERRY 90G 1X1.60€;1.6;EXPRESS MARKET;Autres confiseries et desserts sucrés n.c.a. (ND);01.1.8.9;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
