tri;type;parent;code;label_en;label_fr;note_generale_en;note_generale_fr;contenu_central_en;contenu_central_fr;contenu_additionnel_en;contenu_additionnel_fr;note_exclusion_en;note_exclusion_fr;;;
1;Division;;01;Food and non-alcoholic beverages;Produits alimentaires et boissons non alcoolisées;"Division 01 covers food (01.1) purchased by households mainly for consumption or preparation at home and non-alcoholic beverages (01.2) purchased by households, regardless of where they are consumed.
Division 01 excludes food and non-alcoholic beverages that are provided by facilities such as restaurants and school cafeterias through their food and beverage serving services (division 11).
Services purchased for the processing of primary goods provided by households to produce food and non-alcoholic beverages for their own consumption are also classified under this division (01.3).
Food comprises all edible goods that are purchased and consumed by households for the purpose of nourishment. Food includes: cereals and cereal products; meat; fish and other seafood; milk, other dairy products and eggs; oils and fats; fruit and nuts; vegetables, tubers, plantains, cooking bananas and pulses; sugar, confectionery and desserts; salt, condiments and sauces; and spices, culinary herbs and seeds.
Division 01 also includes baby food and ready-made food that can be eaten as is or after heating.
Division 01 does not include alcoholic beverages (02.1).";"La division 01 couvre les produits alimentaires (01.1) achetés par les ménages principalement pour être consommés ou préparés à domicile et les boissons non alcoolisées (01.2) achetées par les ménages, quel que soit le lieu où elles sont consommées.
La division 01 exclut les aliments et les boissons non alcoolisées fournis par des établissements tels que les restaurants et les cafétérias scolaires dans le cadre de leurs services de restauration (division 11).
Les services achetés pour la transformation des biens primaires fournis par les ménages pour produire des aliments et des boissons non alcoolisées pour leur propre consommation sont également classés dans cette division (01.3).
Les produits alimentaires comprennent tous les biens comestibles achetés et consommés par les ménages à des fins d'alimentation. Les produits alimentaires comprennent : les céréales et les produits céréaliers ; la viande ; le poisson et les autres fruits de mer ; le lait, les autres produits laitiers et les œufs ; les huiles et les graisses ; les fruits et les noix ; les légumes, les tubercules, les plantains, les bananes à cuire et les légumes secs ; le sucre, les confiseries et les desserts ; le sel, les condiments et les sauces ; et les épices, les herbes culinaires et les graines.
La division 01 comprend également les aliments pour bébés et les aliments préparés qui peuvent être consommés tels quels ou après avoir été chauffés.
La division 01 ne comprend pas les boissons alcoolisées (02.1).";;;;;;;;;
2;Groupe;01;01.1;Food;Produits alimentaires;"Group 01.1 covers food purchased by households mainly for consumption or preparation at home, excluding food that is provided by facilities such as restaurants through their food-serving services.
Food comprises all edible goods that are purchased and consumed by households for the purpose of nourishment. Food includes: cereals and cereal products; meat; fish and other seafood; milk, other dairy products and eggs; oils and fats; fruits and nuts; vegetables, tubers, plantains, cooking bananas and pulses; sugar, confectionery and desserts; and salt, condiments and sauces and spices, culinary herbs and seeds.";"Le groupe 01.1 couvre les produits alimentaires achetés par les ménages principalement pour être consommés ou préparés à domicile, à l'exclusion des produits alimentaires fournis par des établissements tels que les restaurants dans le cadre de leurs services de restauration.
Les produits alimentaires comprennent tous les biens comestibles achetés et consommés par les ménages à des fins d'alimentation. Les denrées alimentaires comprennent : les céréales et les produits céréaliers ; la viande ; le poisson et les autres fruits de mer ; le lait, les autres produits laitiers et les œufs ; les huiles et les graisses ; les fruits et les noix ; les légumes, les tubercules, les plantains, les bananes à cuire et les légumineuses ; le sucre, les confiseries et les desserts ; le sel, les condiments et les sauces ainsi que les épices, les herbes culinaires et les graines.";— products that need to be cooked or further prepared as well as ready-made food;— produits qui doivent être cuits ou préparés, ainsi qu'aliments prêts à l'emploi;;;"— services related to local delivery of food or drinks, when separately priced (07.4.9.2)
— products for animal feeding (09.3.2.2)
— food provided by food serving services (division 11)";"— services liés à la livraison locales de produits alimentaires ou boissons, lorsqu’ils sont facturés séparément (07.4.9.2)
— produits alimentaires pour animaux (09.3.2.2)
— produits alimentaires fournis par les services de restauration (division 11)";;;
3;Classe;01.1;01.1.1;Cereals and cereal products (ND);Céréales et produits à base de céréales (ND);;;;;;;;;;;
4;Sous-classe;01.1.1;01.1.1.1;Cereals (ND);Céréales (ND);Dried cereal grains, whether broken or precooked (steamed), not further prepared.;Grains de céréales séchés, même concassés ou précuits (à la vapeur), non autrement préparés.;"— wheat
— rice, including parboiled rice
— sorghum
— barley
— millet
— maize (corn)
— quinoa
— teff";"— blé
— riz, y compris riz étuvé
— sorgo
— orge
— millet
— maïs
— quinoa
— teff";"— bulgur
— rye
— oats
— triticale
— buckwheat
— canary seed
— quihuicha, or Inca wheat
— canagua, or coaihua
— adlay or Job’s tears
— mixed cereal grains, in the form of dried grains, also including other ingredients (provided that none of these is the main ingredient) but not further processed";"— boulgour
— seigle
— avoine
— triticale
— sarrasin
— graines d'alpiste
— quihuicha ou blé inca
— canagua ou coaihua
— adlay ou larmes de Job
— mélanges de grains de céréales, sous forme de grains séchés, comprenant également d'autres ingrédients (pour autant qu'aucun d’eux ne constitue l'ingrédient principal), mais non soumis à une transformation ultérieure";"— flour of cereals (01.1.1.2)
— breakfast cereals (01.1.1.4)
— cereal-based ready-made preparations such as-ready-made soups based on cereals (01.1.9.1)
— baby rice cereals and other baby cereals (01.1.9.2)
— seeds for planting (09.3.1.2)";"— farine de céréales (01.1.1.2)
— céréales pour petit-déjeuner (01.1.1.4)
— plats préparés à base de céréales, tels que soupes à base de céréales (01.1.9.1)
— riz et autres céréales pour nourrissons (01.1.9.2)
— semences (09.3.1.2)";;;
5;Poste;01.1.1.1;01.1.1.1.1;Rice;Riz;;;— rice, including parboiled rice;— riz, y compris riz étuvé;;;;;;;
6;Poste;01.1.1.1;01.1.1.1.2;Cereals, excluding rice;Céréales autre que le riz;;;"— wheat
— sorghum
— barley
— millet
— maize (corn)
— quinoa
— teff";"— blé
— sorgo
— orge
— millet
— maïs
— quinoa
— teff";"— bulgur
— rye
— oats
— triticale
— buckwheat
— canary seed
— quihuicha, or Inca wheat
— canagua, or coaihua
— adlay or Job’s tears
— mixed cereal grains, in the form of dried grains, also including other ingredients (provided that none of these is the main ingredient) but not further processed";"— boulgour
— seigle
— avoine
— triticale
— sarrasin
— graines d'alpiste
— quihuicha ou blé inca
— canagua ou coaihua
— adlay ou larmes de Job
— mélanges de grains de céréales, sous forme de grains séchés, comprenant également d'autres ingrédients (pour autant qu'aucun d’eux ne constitue l'ingrédient principal), mais non soumis à une transformation ultérieure";"— flour of cereals (01.1.1.2)
— breakfast cereals (01.1.1.4)
— cereal-based ready-made preparations such as-ready-made soups based on cereals (01.1.9.1)
— baby rice cereals and other baby cereals (01.1.9.2)
— seeds for planting (09.3.1.2)";"— farine de céréales (01.1.1.2)
— céréales pour petit-déjeuner (01.1.1.4)
— plats préparés à base de céréales, tels que soupes à base de céréales (01.1.9.1)
— riz et autres céréales pour nourrissons (01.1.9.2)
— semences (09.3.1.2)";;;
7;Sous-classe;01.1.1;01.1.1.2;Flour of cereals (ND);Farine de céréales (ND);Flour of cereals mentioned in subclass 01.1.1.1 whether instant (precooked – steamed – or added with yeasts) or not.;Farines de céréales mentionnées dans la sous-classe 01.1.1.1, qu'elles soient préparées (précuites - cuites à la vapeur - ou additionnées de levures) ou non.;— flour of cereals listed under subclass 01.1.1.1;— farines de céréales relevant de la sous-classe 01.1.1.1;"— instant flour for bakery products with yeasts added
— polenta flour, whether instant (pre-steamed) or not";"— farine instantanée pour produits de boulangerie, avec des levures ajoutées
— farine de polenta, qu'elle soit instantanée (précuite) ou non";— flour as baby food, baby rice cereals and other baby cereals (01.1.9.2);— farine, riz et céréales pour nourrissons (01.1.9.2);;;
8;Poste;01.1.1.2;01.1.1.2.1;Flour of cereals;Farine de céréales;Flour of cereals mentioned in subclass 01.1.1.1 whether instant (precooked – steamed – or added with yeasts) or not.;Farines de céréales mentionnées dans la sous-classe 01.1.1.1, qu'elles soient préparées (précuites - cuites à la vapeur - ou additionnées de levures) ou non.;— flour of cereals listed under subclass 01.1.1.1;— farines de céréales relevant de la sous-classe 01.1.1.1;"— instant flour for bakery products with yeasts added
— polenta flour, whether instant (pre-steamed) or not";"— farine instantanée pour produits de boulangerie, avec des levures ajoutées
— farine de polenta, qu'elle soit instantanée (précuite) ou non";— flour as baby food, baby rice cereals and other baby cereals (01.1.9.2);— farine, riz et céréales pour nourrissons (01.1.9.2);;;
9;Sous-classe;01.1.1;01.1.1.3;Bread and bakery products (ND);Pain et produits de boulangerie (ND);;;"— bread and bread rolls
— crispbreads, rusks, toasted bread and crackers
— tortillas
— injera
— pizza bases without topping, whether precooked or not
— gingerbread and the like
— sweet biscuits (cookies)
— waffles and wafers
— ice cream cones
— crumpets, muffins, croissants, sweet tarts, sweet pies, and other pastry goods and cakes";"— pain et petits pains
— pains croustillants, biscottes, pains grillés et crackers
— tortillas
— injera
— pâtes à pizza sans garniture, précuite ou non
— pain d’épices et assimilés
— biscuits sucrés (cookies)
— gauffres et crêpes 
— cornets à glace
— crumpets, muffins, croissants, tartes sucrées, tourtes sucrées, et autres pâtisseries et gâteaux";;;"— pizza with topping, whether precooked or not; quiche; and meat and fish pies (01.1.9.1)";"— pizza avec garniture, précuite ou non ; quiche ; tourte à la viande ou au poisson (01.1.9.1)";;;
10;Poste;01.1.1.3;01.1.1.3.1;Bread;Pain;;;— bread and bread rolls;— pain et petits pains;;;;;;;
