libelle;code;url;description;comprend;ne_comprend_pas
Produits alimentaires et boissons non alcoolisées;01;https://www.insee.fr/fr/metadonnees/coicop2018/division/01;"couvre les produits alimentaires ( ) achetés par les ménages principalement pour être consommés ou préparés à domicile et les boissons non alcoolisées ( ) achetées par les ménages, quel que soit le lieu où elles sont consommées. Les produits alimentaires comprennent tous les biens comestibles achetés et consommés par les ménages à des fins d'alimentation. Les produits alimentaires comprennent : les céréales et les produits céréaliers ; la viande ; le poisson et les autres fruits de mer ; le lait, les autres produits laitiers et les œufs ; les huiles et les graisses ; les fruits et les noix ; les légumes, les tubercules, les plantains, les bananes à cuire et les légumes secs ; le sucre, les confiseries et les desserts ; le sel, les condiments et les sauces ; et les épices, les herbes culinaires et les graines. comprend également les aliments pour bébés et les aliments préparés qui peuvent être consommés tels quels ou après avoir été chauffés.";;02.1
Produits alimentaires;01.1;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/01.1;"couvre les produits alimentaires achetés par les ménages principalement pour être consommés ou préparés à domicile, à l'exclusion des produits alimentaires fournis par des établissements tels que les restaurants dans le cadre de leurs services de restauration. Les produits alimentaires comprennent tous les biens comestibles achetés et consommés par les ménages à des fins d'alimentation. Les denrées alimentaires comprennent : les céréales et les produits céréaliers ; la viande ; le poisson et les autres fruits de mer ; le lait, les autres produits laitiers et les œufs ; les huiles et les graisses ; les fruits et les noix ; les légumes, les tubercules, les plantains, les bananes à cuire et les légumineuses ; le sucre, les confiseries et les desserts ; le sel, les condiments et les sauces ainsi que les épices, les herbes culinaires et les graines.";produits qui doivent être cuits ou préparés, ainsi qu'aliments prêts à l'emploi;services liés à la livraison locales de produits alimentaires ou boissons, lorsqu’ils sont facturés séparément ( 07.4.9.2 produits alimentaires pour animaux ( 09.3.2.2
Céréales et produits à base de céréales (ND);01.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.1;;;
Céréales (ND);01.1.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.1.1;Grains de céréales séchés, même concassés ou précuits (à la vapeur), non autrement préparés.;blé riz, y compris riz étuvé sorgo orge millet maïs quinoa teff boulgour seigle avoine triticale sarrasin graines d'alpiste quihuicha ou blé inca canagua ou coaihua adlay ou larmes de Job mélanges de grains de céréales, sous forme de grains séchés, comprenant également d'autres ingrédients (pour autant qu'aucun d’eux ne constitue l'ingrédient principal), mais non soumis à une transformation ultérieure;farine de céréales ( 01.1.1.2 céréales pour petit-déjeuner ( 01.1.1.4 plats préparés à base de céréales, tels que soupes à base de céréales ( 01.1.9.1 riz et autres céréales pour nourrissons ( 01.1.9.2 semences ( 09.3.1.2
Riz;01.1.1.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.1.1;;riz, y compris riz étuvé;
Céréales autre que le riz;01.1.1.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.1.2;;blé sorgo orge millet maïs quinoa teff boulgour seigle avoine triticale sarrasin graines d'alpiste quihuicha ou blé inca canagua ou coaihua adlay ou larmes de Job mélanges de grains de céréales, sous forme de grains séchés, comprenant également d'autres ingrédients (pour autant qu'aucun d’eux ne constitue l'ingrédient principal), mais non soumis à une transformation ultérieure;farine de céréales ( 01.1.1.2 céréales pour petit-déjeuner ( 01.1.1.4 plats préparés à base de céréales, tels que soupes à base de céréales ( 01.1.9.1 riz et autres céréales pour nourrissons ( 01.1.9.2 semences ( 09.3.1.2
Farine de céréales (ND);01.1.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.1.2;, qu'elles soient préparées (précuites - cuites à la vapeur - ou additionnées de levures) ou non.;01.1.1.1 farine instantanée pour produits de boulangerie, avec des levures ajoutées farine de polenta, qu'elle soit instantanée (précuite) ou non;farine, riz et céréales pour nourrissons ( 01.1.9.2
Farine de céréales;01.1.1.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.2.1;, qu'elles soient préparées (précuites - cuites à la vapeur - ou additionnées de levures) ou non.;01.1.1.1 farine instantanée pour produits de boulangerie, avec des levures ajoutées farine de polenta, qu'elle soit instantanée (précuite) ou non;farine, riz et céréales pour nourrissons ( 01.1.9.2
Pain et produits de boulangerie (ND);01.1.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.1.3;;pain et petits pains pains croustillants, biscottes, pains grillés et crackers tortillas injera pâtes à pizza sans garniture, précuite ou non pain d’épices et assimilés biscuits sucrés (cookies) gauffres et crêpes cornets à glace crumpets, muffins, croissants, tartes sucrées, tourtes sucrées, et autres pâtisseries et gâteaux;"pizza avec garniture, précuite ou non ; quiche ; tourte à la viande ou au poisson ( 01.1.9.1"
Pain;01.1.1.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.3.1;;pain et petits pains;
