id_famille,nom_famille,coicop
7816,COLLES,09.7.4.0.9
0314,STYLOS BILLE ROLLERS,09.7.4.0.9
0315,SURLIGNEURS,09.7.4.0.9
7902,GANTS DE MENAGE,05.6.1.9.9
0261,NM AUTRES PRODUITS FRAIS,01
0256,NM CREMERIE A POIDS VARIABLE,01.1
0260,NM ALIMENTS SURGELES A POIDS VARIABLE,01.1
0262,NM FRUITS ET LEGUMES AU RAYON FRUITS ET LEGUMES,01.1
8167,MACEDOINES & JARDINIERES DE LEGUMES EN BOITES/BOCAUX,01.1
0421,BARRES CHOCOLATEES,01.1
6325,CREPES & GALETTES AU RAYON FRAIS,01.1
6302,DESSERTS FRAIS,01.1
7944,GOUTERS,01.1
6310,QUICHES TARTES TOURTES AU RAYON FRAIS,01.1
8265,VANILLES ET SUCRES VANILLES,01.1
2507,LAIT LONGUE CONSERVATION,01.1
4806,PLATS CUISINES DESHYDRATES,01.1
8278,LEGUMES PRE-EMBALLES EN MEUBLE FRAIS (4E ET 5E GAMME),01.1
7960,BISCUITS PATISSIERS,01.1
7945,BISCUITS SECS,01.1
2915,PREPARATIONS POUR PLATS CUISINES TEX/MEX,01.1
6334,AUTRES ENTREES AU RAYON FRAIS,01.1
0501,CEREALES PRETES A CONSOMMER,01.1
4120,AUTRES LEGUMES SECS EN BOITES/BOCAUX,01.1
0217,FEUILLES DE BRIK / GALETTES DE RIZ,01.1.1
0307,FECULES & EPAISSISSANTS DE TEXTURE,01.1.1
5103,PLATS D'ACCOMPAGNEMENT SURGELES,01.1.1.1.1
4206,RIZ NATURE,01.1.1.1.1
0353,NM MAIS AU RAYON FRUITS ET LEGUMES,01.1.1.1.2
0508,GERME DE BLE / PILPIL & CEREALES D'ACCOMPAGNEMENT DE PLAT,01.1.1.1.2
1306,FARINE (HORS MAIS),01.1.1.2.1
0259,NM BOULANGERIE PATISSERIE AU RF,01.1.1.3
4411,PAIN ET VIENNOISERIE SURGELES,01.1.1.3.1
0950,PAIN PREEMBALLE,01.1.1.3.1
6329,CHEESECAKE & TOURTEAUX FROMAGERS AU RAYON FRAIS,01.1.1.3.2
0965,PATISSERIE VIENNOISERIE DES ROIS,01.1.1.3.2
0963,PATISSERIE INDUSTRIELLE INDIVIDUELLE / EN PORTIONS,01.1.1.3.2
6360,CREPES & GALETTES SUR ETAGERE,01.1.1.3.2
0959,CHEESECAKE MUFFIN & AUTRES PATISSERIES AMERICAINES,01.1.1.3.2
0155,BLINI AU RAYON FRAIS,01.1.1.3.2
8197,PAIN D'EPICES (PERMANENT & SAISONNIER),01.1.1.3.2
0981,PATISSERIE INDUSTRIELLE A PARTAGER,01.1.1.3.2
4401,DESSERTS SURGELES,01.1.1.3.2
0957,VIENNOISERIE INDUSTRIELLE,01.1.1.3.3
7965,GAUFRETTES,01.1.1.3.4
0901,COOKIES,01.1.1.3.4
7946,BISCUITS AUX OEUFS,01.1.1.3.4
1022,CONES ET COUPELLES POUR CREMES GLACEES,01.1.1.3.4
7959,ASSORTIMENTS DE BISCUITS,01.1.1.3.4
0908,BISCUITS SALES,01.1.1.3.4
0903,CHAPELURE & PANURE,01.1.1.3.9
0910,PANIFICATION SECHE,01.1.1.3.9
0904,CROUTONS,01.1.1.3.9
0506,CEREALES A CUIRE,01.1.1.4.1
2301,PATES ALIMENTAIRES,01.1.1.5.1
6306,PATES ALIMENTAIRES AU RAYON FRAIS,01.1.1.5.1
8295,SEMOULES & GRAINES DE COUSCOUS,01.1.1.5.1
4408,PATE A PAIN ET A TARTE SURGELEES,01.1.1.9.1
2308,TAPIOCA & PERLES DU JAPON,01.1.1.9.1
1015,FOND DE TARTE / BOUCHEES A GARNIR,01.1.1.9.1
3311,POPCORN,01.1.1.9.1
1302,POLENTA & FARINE DE MAIS,01.1.1.9.1
6003,PATES MENAGERES (PATE A TARTE ET A PAIN) AU RAYON FRAIS,01.1.1.9.1
3323,BARRES CEREALIERES (NON-ENROBEES DE CHOCOLAT),01.1.1.9.1
0250,NM BOUCHERIE A POIDS VARIABLE,01.1.2
8230,VIANDE HACHEE SURGELEE (HORS VOLAILLE),01.1.2.2.1
8175,VIANDE HACHEE AU RAYON FRAIS,01.1.2.2.1
8214,AUTRE VIANDE PIECES/MORCEAUX NON-ELABOREE SURGELEE,01.1.2.2.3
8359,DECOUPE DE VOLAILLE AU RAYON FRAIS,01.1.2.2.4
0253,NM VOLAILLE A POIDS VARIABLE,01.1.2.2.4
5837,VIANDE A POIDS FIXE AU RAYON FRAIS HORS VOLAILLE,01.1.2.2.9
8287,LAPINS SURGELES,01.1.2.2.9
8288,GIBIERS SURGELES,01.1.2.2.9
0251,NM CHARCUTERIE A POIDS VARIABLE,01.1.2.3
5802,JAMBON CUIT AU RAYON FRAIS,01.1.2.3
5808,CHARCUTERIE EN TRANCHES,01.1.2.3
0394,JAMBON CUIT AU RF AC,01.1.2.3.2
5804,JAMBON CRU AU RAYON FRAIS,01.1.2.3.2
5803,LARD & LARDONS AU RAYON FRAIS,01.1.2.3.2
8313,FOIES GRAS AU RAYON FRAIS,01.1.2.3.9
4507,CHARCUTERIE SURGELEE,01.1.2.4.0
8289,ABATS SURGELES,01.1.2.4.0
5801,SAUCISSES AU RAYON FRAIS,01.1.2.5.1
3350,SAUCISSONS,01.1.2.5.1
0326,LOT MIXTE CHARCUTERIE VIANDE ACCOMPAGNEMENT,01.1.2.5.1
5811,CHARCUTERIE NON-TRANCHEE,01.1.2.5.1
8269,FOIES GRAS APPERTISES (BOITES/BOCAUX),01.1.2.5.2
2414,PATES & RILLETTES APPERTISES (BOITES / BOCAUX),01.1.2.5.2
2406,VIANDES & CONFITS DE VIANDE EN BOITES/BOCAUX,01.1.2.5.2
2417,CORNED BEEF JAMBONS SAUCISSES EN BOITES / BOCAUX,01.1.2.5.2
6328,PATES RILLETTES & CONFITS AU RAYON FRAIS,01.1.2.5.3
8218,POISSONS ENTIERS (NATURES) SURGELES,01.1.3.1.2
8219,POISSONS PANES & BEIGNETS DE POISSON SURGELES,01.1.3.1.2
8246,POISSONS SURGELES EN FILETS & MORCEAUX,01.1.3.1.2
8236,POISSONS FUMES AU RAYON FRAIS,01.1.3.2.1
7988,MAQUEREAUX EN BOITES,01.1.3.3.1
1202,SAUMON EN BOITES,01.1.3.3.1
0153,SURIMI AU RAYON FRAIS,01.1.3.3.1
8098,ANCHOIS (TOUS RAYONS),01.1.3.3.1
1203,AUTRES POISSONS EN BOITES,01.1.3.3.1
8123,THON AU NATUREL - EUROPE,01.1.3.3.1
8268,ESCARGOTS EN BOITES/BOCAUX,01.1.3.3.1
7989,SARDINES EN BOITES,01.1.3.3.1
0156,OEUF DE POISSON AU RAYON FRAIS,01.1.3.3.1
7990,FRUITS DE MER EN BOITES,01.1.3.3.1
6303,SAURISSERIE,01.1.3.4.1
8306,BEIGNETS DE CRUSTACES ET MOLLUSQUES SURGELES,01.1.3.4.2
8307,CRUSTACES & MOLLUSQUES NON-CUISINES SURGELES,01.1.3.4.2
6102,LAITS AU RAYON FRAIS,01.1.4
2502,LAITS EN POUDRE,01.1.4.3.1
2501,LAITS CONCENTRES,01.1.4.3.1
6112,CREMES FRAICHES & UHT,01.1.4.3.2
5704,PRODUITS LACTES LONGUE CONSERVATION,01.1.4.3.2
8140,BOISSON A BASE DE SOJA ET DE VEGETAUX,01.1.4.4.1
0254,NM FROMAGE A POIDS VARIABLE,01.1.4.5
0285,FETA MOZZARELLA RICOTTA MASCARPONE AC,01.1.4.5.1
6107,LAITS FERMENTES,01.1.4.5.1
5614,"FROMAGE FRAIS (PETITS SUISSES, FROMAGES BLANCS, ETC.)",01.1.4.5.1
8179,FETA MOZZARELLA RICOTTA MASCARPONE,01.1.4.5.1
0390,FROM PATE PERSILL AC,01.1.4.5.2
8272,AUTRES FROMAGES A PATE MOLLE,01.1.4.5.2
8273,FROMAGES A PATE MOLLE A CROUTE LAVEE/MIXTE,01.1.4.5.2
5613,ASSORTIMENTS DE FROMAGES,01.1.4.5.2
0178,AUDIT CLASSIQUE FROMAGE POIDS FIXE,01.1.4.5.2
8274,FROMAGES A PATE MOLLE A CROUTE FLEURIE,01.1.4.5.2
0387,FROM PAT MOL LVMX AC,01.1.4.5.2
0284,AUTRES FROMAGES A PATE MOLLE AC,01.1.4.5.2
8271,FROMAGES A PATE PERSILLEE,01.1.4.5.2
8284,FROMAGES A PATE PRESSEE CUITE,01.1.4.5.3
8285,FROMAGES A PATE PRESSEE NON-CUITE & MI-CUITE,01.1.4.5.3
5625,FROMAGE RAPE,01.1.4.5.3
8185,PREPARATION POUR FONDUES SAVOYARDES,01.1.4.5.3
5608,FROMAGES DE CHEVRE ET DE BREBIS,01.1.4.5.4
8312,FROMAGES A CONSOMMER CHAUD,01.1.4.5.4
0391,FRM CHVR BREBIS AC,01.1.4.5.4
0286,FROMAGES A PATE FRAICHE ET FONDUS AC,01.1.4.5.5
5607,FROMAGES A PATE FRAICHE ET FONDUS,01.1.4.5.5
5701,YAOURTS,01.1.4.6.1
5703,YAOURTS A BOIRE,01.1.4.6.1
8152,LAITS LONGUE CONSERVATION AROMATISES (DT CACOLAC),01.1.4.7.1
1003,DESSERTS PRETS A CONSOMMER,01.1.4.7.1
6402,OEUFS,01.1.4.8.1
5904,MARGARINE & SPECIALITES LAITIERES A TARTINER,01.1.5
3203,HUILE D OLIVE,01.1.5.1.1
3202,HUILE POUR CUISINE ET SALADE,01.1.5.1.9
5902,BEURRE,01.1.5.2.1
3208,GRAISSES ANIMALES,01.1.5.9.1
0257,NM FRUITS AU RAYON FRUITS ET LEGUMES,01.1.6
0378,NM AUTRES FRUITS AU RAYON FRUITS ET LEGUMES,01.1.6
0380,NM FRUITS EXOTIQUES AU RAYON FRUITS ET LEGUMES,01.1.6.1.1
0376,NM BANANES AU RAYON FRUITS ET LEGUMES,01.1.6.1.1
0347,NM AVOCATS AU RAYON FRUITS ET LEGUMES,01.1.6.1.1
0373,NM MANGUES AU RAYON FRUITS ET LEGUMES,01.1.6.1.1
0368,NM ANANAS AU RAYON FRUITS ET LEGUMES,01.1.6.1.1
0377,NM FIGUES AU RAYON FRUITS ET LEGUMES,01.1.6.1.1
0369,NM POMELOS PAMPLEMOUSSES AU RAYON FRUITS ET LEGUMES,01.1.6.2.1
0360,NM ORANGES AU RAYON FRUITS ET LEGUMES,01.1.6.2.1
0361,NM MANDARINES CLEMENTINES RY FR LG,01.1.6.2.1
0372,NM CITRONS AU RAYON FRUITS ET LEGUMES,01.1.6.2.1
0362,NM PECHES BRUGNONS NECTARINES RAYON FRT LGM,01.1.6.3.1
0358,NM POMMES AU RAYON FRUITS ET LEGUMES,01.1.6.3.1
0371,NM CERISES AU RAYON FRUITS ET LEGUMES,01.1.6.3.1
0367,NM ABRICOTS AU RAYON FRUITS ET LEGUMES,01.1.6.3.1
0370,NM PRUNES AU RAYON FRUITS ET LEGUMES,01.1.6.3.1
0366,NM POIRES AU RAYON FRUITS ET LEGUMES,01.1.6.3.1
0359,NM FRAISES AU RAYON FRUITS ET LEGUMES,01.1.6.4.1
0375,NM FRUITS ROUGES AU RAYON FRUITS ET LEGUMES,01.1.6.4.1
0374,NM PASTEQUES AU RAYON FRUITS ET LEGUMES,01.1.6.5.1
0364,NM RAISINS AU RAYON FRUITS ET LEGUMES,01.1.6.5.1
0363,NM MELONS AU RAYON FRUITS ET LEGUMES,01.1.6.5.1
0365,NM KIWIS AU RAYON FRUITS ET LEGUMES,01.1.6.5.1
4601,FRUITS SURGELES,01.1.6.6.1
1501,RAISINS SECS,01.1.6.8.1
0316,FRUITS SECS POUR PATISSERIE,01.1.6.8.1
3307,GRAINES & MELANGES DE FRUITS POUR L'APERITIF,01.1.6.8.1
1599,AUTRE FRUITS SECS (Y COMPRIS ASSORTIMENTS),01.1.6.8.1
1502,PRUNEAUX,01.1.6.8.1
1427,TOUT AUTRE FRUIT SEUL EN BOITES / BOCAUX,01.1.6.9.1
1407,CERISES EN BOITES / BOCAUX,01.1.6.9.1
1401,PECHES EN BOITES / BOCAUX,01.1.6.9.1
1405,ABRICOTS EN BOITES / BOCAUX,01.1.6.9.1
1406,POIRES EN BOITES / BOCAUX,01.1.6.9.1
1411,ANANAS EN BOITES / BOCAUX,01.1.6.9.1
1403,MELANGES DE FRUITS EN BOITES / BOCAUX,01.1.6.9.1
0330,LEGUMES AU RAYON FRUITS ET LEGUMES,01.1.7
0258,NM LEGUMES AU RAYON FRUITS ET LEGUMES,01.1.7
8267,PUREES DESHYDRATEES,01.1.7
0336,NM CHOUX AU RAYON FRUITS ET LEGUMES,01.1.7.1.1
0339,NM SALADES AU RAYON FRUITS ET LEGUMES,01.1.7.1.1
0354,NM BROCOLIS AU RAYON FRUITS ET LEGUMES,01.1.7.1.1
0255,NM PRODUITS DE LA MER A POIDS VARIABLE,01.1.7.1.1
0357,NM FENOUILS AU RAYON FRUITS ET LEGUMES,01.1.7.1.1
0355,NM EPINARDS AU RAYON FRUITS ET LEGUMES,01.1.7.1.1
0335,NM ASPERGES AU RAYON FRUITS ET LEGUMES,01.1.7.1.1
0346,NM ARTICHAUTS AU RAYON FRUITS ET LEGUMES,01.1.7.1.1
0340,NM COURGETTES AU RAYON FRUITS ET LEGUMES,01.1.7.2.1
0345,NM COURGES POTIRONS POTIMARONS CITROUILLES RYN FRT LEGM,01.1.7.2.1
0352,NM PIMENTS AU RAYON FRUITS ET LEGUMES,01.1.7.2.1
0343,NM CONCOMBRES AU RAYON FRUITS ET LEGUMES,01.1.7.2.1
0338,NM POIVRONS AU RAYON FRUITS ET LEGUMES,01.1.7.2.1
0350,NM AUBERGINES AU RAYON FRUITS ET LEGUMES,01.1.7.2.1
0333,NM TOMATES AU RAYON FRUITS ET LEGUMES,01.1.7.2.1
0342,NM HARICOTS AU RAYON FRUITS ET LEGUMES,01.1.7.3.1
0331,NM OIGNONS AU RAYON FRUITS ET LEGUMES,01.1.7.4.1
0341,NM POIREAUX AU RAYON FRUITS ET LEGUMES,01.1.7.4.1
0351,NM NAVETS AU RAYONS FRUITS ET LEGUMES,01.1.7.4.1
0344,NM RADIS AU RAYON FRUITS ET LEGUMES,01.1.7.4.1
0356,NM BETTERAVES AU RAYON FRUITS ET LEGUMES,01.1.7.4.1
0337,NM CHAMPIGNONS AU RAYON FRUITS ET LEGUMES,01.1.7.4.1
0332,NM POMMES DE TERRE AU RAYON FRUITS ET LEGUMES,01.1.7.5.2
0141,MAROQUINERIE VOYAGE,01.1.7.5.2
4119,HARICOTS VERTS & BEURRE EN BOITES/BOCAUX,01.1.7.6.1
4101,HARICOTS SECS EN BOITES/BOCAUX,01.1.7.6.1
4102,PETITS POIS EN BOITES/BOCAUX,01.1.7.6.1
4230,LEGUMES SECS,01.1.7.6.1
8286,LEGUMES NON-CUISINES SURGELES,01.1.7.8.1
8293,PETITS POIS CAROTTES EN BOITES/BOCAUX,01.1.7.9.1
4107,POMMES DE TERRE EN BOITES/BOCAUX,01.1.7.9.1
8290,CHAMPIGNONS SECS,01.1.7.9.1
4105,TOMATES EN BOITES/BOCAUX,01.1.7.9.1
4199,AUTRES CONSERVES DE 1 LEGUME EN BOITES/BOCAUX,01.1.7.9.1
4118,MAIS EN BOITES/BOCAUX,01.1.7.9.1
4121,"COULIS, PUREES ET CONCENTRES DE TOMATE APPERTISES",01.1.7.9.1
4117,MELANGES DE LEGUMES EN BOITES/BOCAUX,01.1.7.9.1
2825,AUTRES LEGUMES MARINES EN BOITES/BOCAUX,01.1.7.9.1
4113,EPINARDS EN BOITES/BOCAUX,01.1.7.9.1
4116,CAROTTES EN BOITES/BOCAUX,01.1.7.9.1
4145,POUSSES DE BAMBOU & SOJA EN BOITES/BOCAUX,01.1.7.9.1
8270,ASPERGES EN BOITES/BOCAUX,01.1.7.9.1
4114,CHAMPIGNONS EN BOITES/BOCAUX,01.1.7.9.1
2909,POMMES DE TERRE CUISINES EN BOITES/BARQUETTES,01.1.7.9.2
5320,POMMES DE TERRE SURGELEES,01.1.7.9.2
3352,EXTRUDES POUR L'APERITIF,01.1.7.9.3
3303,CHIPS,01.1.7.9.3
3802,SUCRE SPECIAUX,01.1.8.1.1
3801,SUCRE CLASSIQUES,01.1.8.1.1
3804,EDULCORANTS & SUCRES ALLEGES,01.1.8.2.1
1915,COULIS ET PUREES DE FRUITS SURGELES,01.1.8.3.1
1523,PATES DE FRUIT,01.1.8.3.1
1904,MIEL,01.1.8.3.1
3903,SIROP D'ERABLE ET ASSIMILES,01.1.8.3.1
7994,CREMES DE MARRON,01.1.8.3.1
0317,FRUITS CONFITS POUR PATISSERIE,01.1.8.3.1
1901,COMPOTES APPERTISEES,01.1.8.3.1
1905,CONFITURES / GELEES / MARMELADES,01.1.8.3.1
7919,COMPOTES FRAICHES,01.1.8.3.1
3904,SIROPS DE SUCRE DE CANNE,01.1.8.3.1
7904,TABLETTES DE CHOCOLAT,01.1.8.5.1
1913,PATE A TARTINER CHOCO/NOISETTE,01.1.8.5.2
0424,BOITES DE CHOCOLAT (PERMANENTS & SAISONNIERS),01.1.8.5.2
0458,CHOCOLATS & CONFISERIE DE NOEL (HORS BOITES),01.1.8.5.2
0423,ROCHERS & BOUCHEES (HORS BOITES),01.1.8.5.2
0422,TURBINES (PERMANENTS & SAISONNIERS DONT KINDER),01.1.8.5.2
8147,CONFISERIE PERMANENTE DE CHOCOLAT (HORS BOITE),01.1.8.5.2
0456,CHOCOLATS & CONFISERIE DE PAQUES (HORS BOITES),01.1.8.5.2
0606,PETIT DEJEUNER PRET A BOIRE (INCLUS CAFE),01.1.8.5.3
0603,PETITS DEJEUNERS CHOCOLATES,01.1.8.5.3
8309,PRODUITS GLACES DE FIN D'ANNEE,01.1.8.6.1
4304,CREMES GLACEES ET SORBETS,01.1.8.6.1
