product;code;libelle
Carrefour – Riz Basmati;01.1.1.1;Céréales (ND)
Auchan – Riz Long Grain;01.1.1.1;Céréales (ND)
Leclerc – Riz Parboiled;01.1.1.1;Céréales (ND)
Intermarché – Riz Étuvé;01.1.1.1;Céréales (ND)
Casino – Riz Arborio;01.1.1.1;Céréales (ND)
Monoprix – Riz Japonais;01.1.1.1;Céréales (ND)
Cora – Riz Thaï;01.1.1.1;Céréales (ND)
Lidl – Riz Gluant;01.1.1.1;Céréales (ND)
Aldi – Riz Brun;01.1.1.1;Céréales (ND)
Spar – Riz Noir;01.1.1.1;Céréales (ND)
Carrefour – Riz Jasmin;01.1.1.1;Céréales (ND)
Auchan – Riz Thai parfumé;01.1.1.1;Céréales (ND)
Leclerc – Riz complet;01.1.1.1;Céréales (ND)
Intermarché – Riz complet bio;01.1.1.1;Céréales (ND)
Casino – Riz rouge;01.1.1.1;Céréales (ND)
Monoprix – Riz noir complet;01.1.1.1;Céréales (ND)
Cora – Riz sauvage;01.1.1.1;Céréales (ND)
Lidl – Riz blanc longue durée;01.1.1.1;Céréales (ND)
Aldi – Riz étuvé premium;01.1.1.1;Céréales (ND)
Carrefour – Blé dur;01.1.1.1;Céréales (ND)
Auchan – Blé tendre;01.1.1.1;Céréales (ND)
Leclerc – Blé complet;01.1.1.1;Céréales (ND)
Intermarché – Blé dur bio;01.1.1.1;Céréales (ND)
Casino – Blé à pain;01.1.1.1;Céréales (ND)
Monoprix – Blé dur semoule;01.1.1.1;Céréales (ND)
Cora – Blé tendre bio;01.1.1.1;Céréales (ND)
Lidl – Blé d’hiver;01.1.1.1;Céréales (ND)
Aldi – Blé d’été;01.1.1.1;Céréales (ND)
Spar – Blé complet bio;01.1.1.1;Céréales (ND)
Carrefour – Blé grain entier;01.1.1.1;Céréales (ND)
Auchan – Blé grain d’hiver;01.1.1.1;Céréales (ND)
Leclerc – Blé grain d’été;01.1.1.1;Céréales (ND)
Intermarché – Blé semi‑complet;01.1.1.1;Céréales (ND)
Casino – Blé sans gluten*;01.1.1.1;Céréales (ND)
Monoprice – Blé rouge (non disponible);01.1.1.1;Céréales (ND)
Cora – Blé blanc;01.1.1.1;Céréales (ND)
Lidl – Blé de printemps;01.1.1.1;Céréales (ND)
Aldi – Blé de saison;01.1.1.1;Céréales (ND)
Carrefour – Maïs doux;01.1.1.1;Céréales (ND)
Auchan – Maïs grain;01.1.1.1;Céréales (ND)
Leclerc – Maïs blanc;01.1.1.1;Céréales (ND)
Intermarché – Maïs jaune;01.1.1.1;Céréales (ND)
Casino – Maïs doux bio;01.1.1.1;Céréales (ND)
Monoprix – Maïs éclaté;01.1.1.1;Céréales (ND)
Cora – Maïs soufflé nature;01.1.1.1;Céréales (ND)
Lidl – Maïs décortiqué;01.1.1.1;Céréales (ND)
Aldi – Maïs grillé nature;01.1.1.1;Céréales (ND)
Spar – Maïs blé‑maïs mixte;01.1.1.1;Céréales (ND)
Carrefour – Maïs grain bio;01.1.1.1;Céréales (ND)
Auchan – Maïs pépins;01.1.1.1;Céréales (ND)
Leclerc – Maïs à pop‑corn;01.1.1.1;Céréales (ND)
Intermarché – Maïs doux sucré;01.1.1.1;Céréales (ND)
Casino – Maïs en épis secs;01.1.1.1;Céréales (ND)
Monoprix – Maïs blanc bio;01.1.1.1;Céréales (ND)
Cora – Maïs rouge (variété);01.1.1.1;Céréales (ND)
Lidl – Maïs noir (rare);01.1.1.1;Céréales (ND)
Aldi – Maïs entier;01.1.1.1;Céréales (ND)
Carrefour – Orge perlé;01.1.1.1;Céréales (ND)
Auchan – Orge polie;01.1.1.1;Céréales (ND)
Leclerc – Orge verte;01.1.1.1;Céréales (ND)
Intermarché – Orge perlé bio;01.1.1.1;Céréales (ND)
Casino – Orge décortiquée;01.1.1.1;Céréales (ND)
Monoprix – Orge instantanée;01.1.1.1;Céréales (ND)
Cora – Orge perlé nature;01.1.1.1;Céréales (ND)
Lidl – Orge perlé complet;01.1.1.1;Céréales (ND)
Aldi – Orge perlée bio;01.1.1.1;Céréales (ND)
Spar – Orge perlé sans gluten*;01.1.1.1;Céréales (ND)
Carrefour – Orge à ragoût;01.1.1.1;Céréales (ND)
Auchan – Orge maltée;01.1.1.1;Céréales (ND)
Leclerc – Orge perlé rouge;01.1.1.1;Céréales (ND)
Intermarché – Orge perlé dorée;01.1.1.1;Céréales (ND)
Casino – Orge perlé blanche;01.1.1.1;Céréales (ND)
Monoprix – Orge perlé bronze;01.1.1.1;Céréales (ND)
Cora – Orge perlé argentée;01.1.1.1;Céréales (ND)
Lidl – Orge perlé noire;01.1.1.1;Céréales (ND)
Aldi – Orge perlé organique;01.1.1.1;Céréales (ND)
Carrefour – Quinoa rouge;01.1.1.1;Céréales (ND)
Auchan – Quinoa blanc;01.1.1.1;Céréales (ND)
Leclerc – Quinoa noir;01.1.1.1;Céréales (ND)
Intermarché – Quinoa bio rouge;01.1.1.1;Céréales (ND)
Casino – Quinoa bio blanc;01.1.1.1;Céréales (ND)
Monoprix – Quinoa tricolore;01.1.1.1;Céréales (ND)
Cora – Quinoa bio mixte;01.1.1.1;Céréales (ND)
Lidl – Quinoa bio noir;01.1.1.1;Céréales (ND)
Aldi – Quinoa royal;01.1.1.1;Céréales (ND)
Spar – Quinoa perlé;01.1.1.1;Céréales (ND)
Carrefour – Quinoa germé;01.1.1.1;Céréales (ND)
Auchan – Quinoa éclaté;01.1.1.1;Céréales (ND)
Leclerc – Quinoa grain entier;01.1.1.1;Céréales (ND)
Intermarché – Quinoa nature;01.1.1.1;Céréales (ND)
Casino – Quinoa sans pesticide*;01.1.1.1;Céréales (ND)
Monoprix – Quinoa à cuisson rapide;01.1.1.1;Céréales (ND)
Cora – Quinoa de montagne;01.1.1.1;Céréales (ND)
Lidl – Quinoa des Andes;01.1.1.1;Céréales (ND)
Aldi – Quinoa premium;01.1.1.1;Céréales (ND)
Carrefour – Sorgo blanc;01.1.1.1;Céréales (ND)
Auchan – Sorgo rouge;01.1.1.1;Céréales (ND)
Leclerc – Sorgo noir;01.1.1.1;Céréales (ND)
Intermarché – Sorgo bio blanc;01.1.1.1;Céréales (ND)
Casino – Sorgo bio rouge;01.1.1.1;Céréales (ND)
Monoprix – Sorgo complet;01.1.1.1;Céréales (ND)
Cora – Sorgo décortiqué;01.1.1.1;Céréales (ND)
Lidl – Sorgo à grain;01.1.1.1;Céréales (ND)
Aldi – Sorgo à cuisson lente;01.1.1.1;Céréales (ND)
Spar – Sorgo à cuisson rapide;01.1.1.1;Céréales (ND)
Carrefour – Millet perlé;01.1.1.1;Céréales (ND)
Auchan – Millet complet;01.1.1.1;Céréales (ND)
Leclerc – Millet blanc;01.1.1.1;Céréales (ND)
Intermarché – Millet rouge;01.1.1.1;Céréales (ND)
Casino – Millet bio perlé;01.1.1.1;Céréales (ND)
Monoprix – Millet bio complet;01.1.1.1;Céréales (ND)
Cora – Millet de Provence;01.1.1.1;Céréales (ND)
Lidl – Millet d’Afrique;01.1.1.1;Céréales (ND)
Aldi – Millet d’Asie;01.1.1.1;Céréales (ND)
Spar – Millet sans gluten*;01.1.1.1;Céréales (ND)
Carrefour – Teff blanc;01.1.1.1;Céréales (ND)
Auchan – Teff rouge;01.1.1.1;Céréales (ND)
Leclerc – Teff noir;01.1.1.1;Céréales (ND)
Intermarché – Teff bio blanc;01.1.1.1;Céréales (ND)
Casino – Teff bio rouge;01.1.1.1;Céréales (ND)
Monoprix – Teff complet;01.1.1.1;Céréales (ND)
Cora – Teff décortiqué;01.1.1.1;Céréales (ND)
Lidl – Teff à grain;01.1.1.1;Céréales (ND)
Aldi – Teff en vrac;01.1.1.1;Céréales (ND)
Spar – Teff premium;01.1.1.1;Céréales (ND)
Carrefour – Riz basmati 5 kg;01.1.1.1;Céréales (ND)
Auchan – Riz basmati 10 kg;01.1.1.1;Céréales (ND)
Leclerc – Riz basmati bio 5 kg;01.1.1.1;Céréales (ND)
Intermarché – Riz basmati premium 10 kg;01.1.1.1;Céréales (ND)
Casino – Riz basmati royal 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Riz basmati blanc 10 kg;01.1.1.1;Céréales (ND)
Cora – Riz basmati complet 5 kg;01.1.1.1;Céréales (ND)
Lidl – Riz basmati complet 10 kg;01.1.1.1;Céréales (ND)
Aldi – Riz basmati long grain 5 kg;01.1.1.1;Céréales (ND)
Spar – Riz basmati long grain 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Riz complet 5 kg;01.1.1.1;Céréales (ND)
Auchan – Riz complet 10 kg;01.1.1.1;Céréales (ND)
Leclerc – Riz complet bio 5 kg;01.1.1.1;Céréales (ND)
Intermarché – Riz complet bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Riz complet noir 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Riz complet blanc 10 kg;01.1.1.1;Céréales (ND)
Cora – Riz complet nature 5 kg;01.1.1.1;Céréales (ND)
Lidl – Riz complet nature 10 kg;01.1.1.1;Céréales (ND)
Aldi – Riz complet premium 5 kg;01.1.1.1;Céréales (ND)
Spar – Riz complet premium 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Riz thaï 5 kg;01.1.1.1;Céréales (ND)
Auchan – Riz thaï 10 kg;01.1.1.1;Céréales (ND)
Leclerc – Riz thaï bio 5 kg;01.1.1.1;Céréales (ND)
Intermarché – Riz thaï bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Riz thaï parfumé 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Riz thaï parfumé 10 kg;01.1.1.1;Céréales (ND)
Cora – Riz thaï nature 5 kg;01.1.1.1;Céréales (ND)
Lidl – Riz thaï nature 10 kg;01.1.1.1;Céréales (ND)
