nom_variete;code_variete_ecoicopv1;code_sous_classe_ecoicopv2
Fromage fondu - Non classés ailleurs;01.1.4.5.5.9999;01.1.4.5
Aliments pour bébés - Non classés ailleurs;01.1.9.3.1.9999;01.1.9.2
Fromage à pâte pressée - Non classés ailleurs;01.1.4.5.3.9999;01.1.4.5
Fromage de chèvre - Non classés ailleurs;01.1.4.5.4.9999;01.1.4.5
Son;01.1.1.2.1.0006;01.1.1.1
Serviette pour adultes;12.1.3.2.5.0032;06.1.3.3
Bresaola;01.1.2.7.4.0009;01.1.2.3
Feutres de coloriage;09.5.4.9.1.0026;09.7.4.0
Poulet - Non classés ailleurs;01.1.2.4.1.9999;01.1.2.2
Chocolat en tablettes - Non classés ailleurs;01.1.8.3.1.9999;01.1.8.5
Huile d'olive - Non classés ailleurs;01.1.5.3.1.9999;01.1.5.1
Autres huiles alimentaires - Non classés ailleurs;01.1.5.4.1.9999;01.1.5.1
Fruits surgelés - Non classés ailleurs;01.1.6.2.1.9999;01.1.6.6
Jambon - Non classés ailleurs;01.1.2.7.1.9999;01.1.2.3
Saucisson - Non classés ailleurs;01.1.2.7.2.9999;01.1.2.5
Saucisse - Non classés ailleurs;01.1.2.7.3.9999;01.1.2.5
Lubrifiants - Non classés ailleurs;07.2.2.4.1.9999;07.2.2.4
Cornichon en bocal;01.1.9.1.1.0029;01.1.9.3
Chips - Non classés ailleurs;01.1.7.5.1.9999;01.1.7.9
Olives;01.1.9.1.1.0030;01.1.9.3
Sucre - Non classés ailleurs;01.1.8.1.1.9999;01.1.8.1
Confitures, compotes et miel - Non classés ailleurs;01.1.8.2.1.9999;01.1.8.3
Lait maternisé 1er âge;01.1.9.3.1.0002;01.1.9.2
Cordon bleu de volaille frais;01.1.2.8.3.0017;01.1.9.1
Oeufs de plein air;01.1.4.7.1.0001;01.1.4.8
Copies doubles perforées;09.5.4.1.1.0001;09.7.4.0
Plat cuisiné base pâtes rayon frais;01.1.2.8.3.0019;01.1.9.1
Pâtisserie de conservation - Non classés ailleurs;01.1.1.4.6.9999;01.1.1.3
Chair, pulpe de tomates appertisée;01.1.7.3.1.0040;01.1.7.9
Betterave cuite sous vide;01.1.7.3.2.0024;01.1.9.1
Surligneur;09.5.4.9.1.0015;09.7.4.0
Crêpes/galettes surgelées;01.1.1.5.1.0003;01.1.9.1
